submitted_id	current_id	converted_id	current_symbol
spn-A	FBgn0003479	FBgn0003479	spn-A
CG18628	FBgn0036091	FBgn0036091	CG18628
dnc	FBgn0000479	FBgn0000479	dnc
CG11880	FBgn0039637	FBgn0039637	CG11880
CG42725	FBgn0261670	FBgn0261670	CG42725
CG42725	FBgn0263083	FBgn0263083	CG43351
Bgb	FBgn0013753	FBgn0013753	Bgb
CG42773	FBgn0261841	FBgn0261841	pre-mod(mdg4)-AD
RpL38	FBgn0040007	FBgn0040007	RpL38
Vps28	FBgn0021814	FBgn0021814	Vps28
Past1	FBgn0016693	FBgn0016693	Past1
CG14164	FBgn0036057	FBgn0036057	CG14164
CG13220	FBgn0033608	FBgn0033608	CG13220
serp	FBgn0260653	FBgn0260653	serp
tou	FBgn0033636	FBgn0033636	tou
CG15111	FBgn0034419	FBgn0034419	CG15111
CG8776	FBgn0261673	FBgn0261673	nemy
CG2258	FBgn0029997	FBgn0029997	CG2258
CG2258	FBgn0084955	FBgn0084955	Dmir\CG2258
elfless	FBgn0032660	FBgn0032660	elfless
CG2201	FBgn0032955	FBgn0032955	CG2201
Obp51a	FBgn0043530	FBgn0043530	Obp51a
Phax	FBgn0033380	FBgn0033380	Phax
CG4061	FBgn0025630	FBgn0025630	CG4061
CG34449	FBgn0085478	FBgn0085478	CG34449
corn	FBgn0259173	FBgn0259173	corn
bbx	FBgn0024251	FBgn0024251	bbx
CG16857	FBgn0028482	FBgn0028482	CG16857
snRNA:U5:35D	FBgn0003936	FBgn0003936	snRNA:U5:35D
CG15141	FBgn0032635	FBgn0032635	CG15141
CG13197	FBgn0062449	FBgn0062449	CG13197
Cyp12c1	FBgn0036806	FBgn0036806	Cyp12c1
CG32267	FBgn0052267	FBgn0052267	CG32267
Snmp	unknown ID	-	-
Eip55E	FBgn0000566	FBgn0000566	Eip55E
fh	FBgn0030092	FBgn0030092	fh
CG14060	FBgn0084177	FBgn0084177	Dmir\CG14060
CG14060	FBgn0261547	FBgn0261547	Exn
CG6361	FBgn0030925	FBgn0030925	Hayan
snoRNA:Psi28S-2179	FBgn0086666	FBgn0086666	snoRNA:Psi28S-2179
Spn5	unknown ID	-	-
mRpS11	FBgn0038474	FBgn0038474	mRpS11
pncr008:3L	FBgn0047000	FBgn0047000	pncr008:3L
mRpL17	FBgn0035122	FBgn0035122	mRpL17
CG31005	FBgn0051005	FBgn0051005	qless
RpLP2	FBgn0003274	FBgn0003274	RpLP2
msk	FBgn0026252	FBgn0026252	msk
CG3353	FBgn0038869	FBgn0038869	CG3353
sax	FBgn0003317	FBgn0003317	sax
