chr	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	FPKM_2	FPKM_ave	log2(FPKM_ave)
2L	Ir21a	-	-	Ir21a	Ir21a	TSS9411	2L:21918-25151	-	-	4,16	2,71	5,62	OK	4,85	4,51	2,17
2L	CG11023	-	-	CG11023	CG11023	TSS8216	2L:7528-9484	-	-	49,24	43,46	55,02	OK	41,70	45,47	5,51
2L	dbr	-	-	dbr	dbr	TSS10579	2L:67043-71390	-	-	15,49	13,35	17,62	OK	14,96	15,22	3,93
2L	galectin	-	-	galectin	galectin	TSS12586,TSS14056,TSS3404	2L:72387-76211	-	-	10,84	7,76	13,92	OK	10,95	10,90	3,45
2L	CG11374	-	-	CG11374	CG11374	TSS3463	2L:76445-77639	-	-	9,98	6,45	13,52	OK	9,32	9,65	3,27
2L	net	-	-	net	net	TSS5535	2L:82455-87382	-	-	12,67	9,74	15,59	OK	9,22	10,94	3,45
2L	CG11376	-	-	CG11376	CG11376	TSS10148	2L:94751-102086	-	-	5,57	4,51	6,63	OK	4,54	5,06	2,34
2L	CG11377	-	-	CG11377	CG11377	TSS1018	2L:102381-104142	-	-	8,84	6,42	11,26	OK	9,26	9,05	3,18
2L	Nhe1	-	-	Nhe1	Nhe1	TSS14840	2L:103961-106718	-	-	35,64	30,93	40,35	OK	36,20	35,92	5,17
2L	M(2)21AB	-	-	M(2)21AB	M(2)21AB	TSS14122,TSS415,TSS5610,TSS5772,TSS6051,TSS6658	2L:106902-114433	-	-	26,23	22,17	30,30	OK	21,50	23,87	4,58
2L	CG13694	-	-	CG13694	CG13694	TSS10872	2L:115364-116488	-	-	4,44	2,07	6,82	OK	4,43	4,44	2,15
2L	Cda5	-	-	Cda5	Cda5	TSS12957	2L:25401-59242	-	-	5,43	4,41	6,45	OK	5,44	5,44	2,44
2L	l(2)gl	-	-	l(2)gl	l(2)gl	TSS16098,TSS6175	2L:9835-21372	-	-	16,36	14,25	18,47	OK	13,41	14,88	3,90
2L	Gs1	-	-	Gs1	Gs1	TSS11363	2L:132059-134472	-	-	9,78	7,43	12,13	OK	6,21	7,99	3,00
2L	CG31975	-	-	CG31975	CG31975	TSS9775	2L:138383-140992	-	-	0,38	0,00	1,00	OK	0,71	0,54	-0,89
2L	CG31974	-	-	CG31974	CG31974	TSS3570	2L:141076-142978	-	-	4,62	2,91	6,34	OK	3,58	4,10	2,04
2L	CG11454	-	-	CG11454	CG11454	TSS9421	2L:143308-144227	-	-	11,09	7,48	14,71	OK	6,82	8,95	3,16
2L	CG42399	-	-	CG42399	CG42399	TSS11244	2L:144229-153288	-	-	5,62	4,64	6,59	OK	4,54	5,08	2,34
2L	CG3164	-	-	CG3164	CG3164	TSS719,TSS7941	2L:122623-130791	-	-	43,04	38,50	47,58	OK	35,43	39,24	5,29
2L	CG3709	-	-	CG3709	CG3709	TSS16909	2L:153538-155321	-	-	10,11	7,47	12,74	OK	9,23	9,67	3,27
2L	CG33635	-	-	CG33635	CG33635	TSS6551	2L:157835-158664	-	-	6,37	2,12	10,62	OK	6,68	6,53	2,71
2L	CG11455	-	-	CG11455	CG11455	TSS14016	2L:155332-156030	-	-	108,94	90,87	127,00	OK	97,24	103,09	6,69
2L	CG3436	-	-	CG3436	CG3436	TSS8218	2L:156028-157666	-	-	11,73	8,26	15,21	OK	13,03	12,38	3,63
2L	mRpL10	-	-	mRpL10	mRpL10	TSS17639	2L:203783-204782	-	-	19,79	14,36	25,22	OK	16,64	18,22	4,19
2L	CG11617	-	-	CG11617	CG11617	TSS6882	2L:204734-207297	-	-	2,32	0,93	3,72	OK	2,34	2,33	1,22
2L	CG4822	-	-	CG4822	CG4822	TSS12220,TSS3884,TSS5438	2L:117078-121974	-	-	1,88	0,68	3,08	OK	2,51	2,19	1,13
2L	CG11490	-	-	CG11490	CG11490	TSS14938	2L:207398-210506	-	-	17,91	15,40	20,41	OK	17,92	17,91	4,16
2L	Rpp30	-	-	Rpp30	Rpp30	TSS2996	2L:251162-252331	-	-	0,63	0,00	1,51	OK	1,46	1,05	0,06
2L	CG3645	-	-	CG3645	CG3645	TSS13619	2L:252588-271732	-	-	5,59	3,78	7,40	OK	6,54	6,07	2,60
2L	CG17075	-	-	CG17075	CG17075	TSS16284	2L:263781-266688	-	-	1,57	0,87	2,27	OK	1,62	1,59	0,67
2L	CG3345	-	-	CG3345	CG3345	TSS4479	2L:269087-271626	-	-	367,41	355,41	379,40	OK	378,39	372,90	8,54
2L	mbm	-	-	mbm	mbm	TSS9772	2L:271911-274096	-	-	5,34	3,77	6,91	OK	4,96	5,15	2,36
2L	CG17078	-	-	CG17078	CG17078	TSS4675	2L:274739-277212	-	-	24,12	20,61	27,63	OK	26,34	25,23	4,66
2L	CG11555	-	-	CG11555	CG11555	TSS4528	2L:273954-274766	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	smo	-	-	smo	smo	TSS12269	2L:277587-282167	-	-	5,21	3,95	6,47	OK	5,80	5,50	2,46
2L	CG11601	-	-	CG11601	CG11601	TSS10745	2L:281969-283281	-	-	58,53	49,86	67,20	OK	56,44	57,49	5,85
2L	CG3625	-	-	CG3625	CG3625	TSS11836,TSS12078,TSS16509	2L:283384-291010	-	-	34,16	28,24	40,08	OK	32,41	33,29	5,06
2L	CG11592	-	-	CG11592	CG11592	TSS7257	2L:287251-288919	-	-	0,57	0,00	1,13	OK	0,53	0,55	-0,87
2L	CG11562	-	-	CG11562	CG11562	TSS144	2L:292465-293222	-	-	392,56	367,21	417,91	OK	354,37	373,46	8,54
2L	U2af38	-	-	U2af38	U2af38	TSS9858	2L:293336-294679	-	-	44,14	38,38	49,90	OK	39,81	41,97	5,39
2L	Hop	-	-	Hop	Hop	TSS6970	2L:295108-297413	-	-	66,03	60,56	71,50	OK	65,92	65,98	6,04
2L	Pi3K21B	-	-	Pi3K21B	Pi3K21B	TSS1883	2L:297881-303955	-	-	9,67	7,91	11,43	OK	10,05	9,86	3,30
2L	Plc21C	-	-	Plc21C	Plc21C	TSS3756,TSS5645,TSS7397	2L:305940-346549	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG31920	-	-	CG31920	CG31920	TSS7439	2L:325519-329761	-	-	667,23	633,42	701,04	OK	637,01	652,12	9,35
2L	CG11912	-	-	CG11912	CG11912	TSS13506	2L:318361-319254	-	-	0,32	0,00	0,95	OK	0,30	0,31	-1,70
2L	CG11911	-	-	CG11911	CG11911	TSS9159	2L:320278-321246	-	-	6,22	3,50	8,93	OK	7,01	6,61	2,72
2L	CG33127	-	-	CG33127	CG33127	TSS6061	2L:322100-323091	-	-	0,00	0,00	0,00	OK	0,27	0,13	-2,89
2L	CG33992	-	-	CG33992	CG33992	TSS3322	2L:327428-328518	-	-	385,57	368,72	402,43	OK	372,27	378,92	8,57
2L	CG31921	-	-	CG31921	CG31921	TSS498	2L:329990-332335	-	-	395,57	383,69	407,45	OK	399,19	397,38	8,63
2L	Ent1	-	-	Ent1	Ent1	TSS3493	2L:355558-357868	-	-	35,72	30,53	40,92	OK	32,68	34,20	5,10
2L	al	-	-	al	al	TSS11715	2L:378115-387439	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG4213	-	-	CG4213	CG4213	TSS16191	2L:396594-402181	-	-	31,56	29,11	34,00	OK	29,97	30,76	4,94
2L	RpI135	-	-	RpI135	RpI135	TSS5995	2L:404285-408049	-	-	3,72	2,66	4,78	OK	3,38	3,55	1,83
2L	alpha-Adaptin	-	-	alpha-Adaptin	alpha-Adaptin	TSS10920,TSS16216	2L:408021-414775	-	-	8,24	6,82	9,67	OK	9,08	8,66	3,11
2L	ebi	-	-	ebi	ebi	TSS4761	2L:415068-418536	-	-	13,11	11,10	15,11	OK	12,78	12,94	3,69
2L	CG13690	-	-	CG13690	CG13690	TSS13259	2L:418429-419642	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	RpLP1	-	-	RpLP1	RpLP1	TSS5049	2L:419930-420706	-	-	288,59	262,17	315,01	OK	283,84	286,22	8,16
2L	CG11885	-	-	CG11885	CG11885	TSS15611	2L:420886-421407	-	-	94,59	78,37	110,81	OK	80,69	87,64	6,45
2L	CG13692	-	-	CG13692	CG13692	TSS12111	2L:421799-422435	-	-	1,40	0,00	3,38	OK	0,65	1,03	0,04
2L	BBS8	-	-	BBS8	BBS8	TSS4172	2L:423451-425291	-	-	0,95	0,23	1,67	OK	0,38	0,67	-0,59
2L	ex	-	-	ex	ex	TSS4878	2L:431252-448701	-	-	2,19	1,59	2,79	OK	2,93	2,56	1,36
2L	crq	-	-	crq	crq	TSS7883	2L:448253-453023	-	-	29,14	25,29	32,99	OK	24,01	26,57	4,73
2L	CG4164	-	-	CG4164	CG4164	TSS9762	2L:453110-454654	-	-	26,42	22,40	30,43	OK	25,22	25,82	4,69
2L	CG4133	-	-	CG4133	CG4133	TSS16761	2L:455542-458746	-	-	0,30	0,00	0,61	OK	0,50	0,40	-1,32
2L	CG4297	-	-	CG4297	CG4297	TSS2358	2L:460514-465607	-	-	1,31	0,79	1,82	OK	0,64	0,97	-0,04
2L	MED15	-	-	MED15	MED15	TSS15959	2L:473020-476176	-	-	42,58	38,97	46,19	OK	40,73	41,65	5,38
2L	cbt	-	-	cbt	cbt	TSS15432,TSS6954	2L:476436-479682	-	-	3,94	2,59	5,29	OK	2,39	3,16	1,66
2L	ush	-	-	ush	ush	TSS3432	2L:523466-540541	-	-	1,77	1,21	2,34	OK	2,29	2,03	1,02
2L	lwr	-	-	lwr	lwr	TSS11475	2L:541234-542572	-	-	79,61	70,85	88,37	OK	67,85	73,73	6,20
2L	Spp	-	-	Spp	Spp	TSS14297	2L:542775-544627	-	-	50,03	44,33	55,72	OK	57,71	53,87	5,75
2L	nAcRbeta-21C	-	-	nAcRbeta-21C	nAcRbeta-21C	TSS55	2L:545147-547096	-	-	1,21	0,21	2,20	OK	1,38	1,29	0,37
2L	Ets21C	-	-	Ets21C	Ets21C	TSS16975,TSS8972	2L:547413-552454	-	-	3,02	1,71	4,33	OK	4,09	3,56	1,83
2L	rempA	-	-	rempA	rempA	TSS14360,TSS2351	2L:553741-560310	-	-	9,17	7,86	10,49	OK	9,13	9,15	3,19
2L	CG2789	-	-	CG2789	CG2789	TSS12783	2L:559610-560523	-	-	28,36	21,66	35,07	OK	36,23	32,30	5,01
2L	CG11835	-	-	CG11835	CG11835	TSS1821	2L:560793-563303	-	-	1,75	1,02	2,49	OK	2,00	1,88	0,91
2L	CG2794	-	-	CG2794	CG2794	TSS8136	2L:564169-566472	-	-	111,10	103,16	119,03	OK	107,04	109,07	6,77
2L	Nle	-	-	Nle	Nle	TSS11721	2L:566365-568162	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG2807	-	-	CG2807	CG2807	TSS16483	2L:568336-572716	-	-	8,27	6,99	9,55	OK	9,18	8,72	3,12
