chr	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	FPKM_2	FPKM_ave	log2(FPKM_ave)
3L	CG18628	-	-	CG18628	CG18628	TSS12006	3L:10632870-10633236	-	-	81365,80	80669,80	82061,90	OK	126514,00	103939,90	16,67
2R	RpL41	-	-	RpL41	RpL41	TSS56	2R:20790939-20791452	-	-	23757,10	23450,50	24063,80	OK	23520,10	23638,60	14,53
3R	MtnA	-	-	MtnA	MtnA	TSS9798	3R:5609486-5610093	-	-	20434,00	20164,50	20703,60	OK	26812,30	23623,15	14,53
2R	RpL39	-	-	RpL39	RpL39	TSS13889	2R:19949372-19949952	-	-	16261,80	15975,30	16548,40	OK	16536,40	16399,10	14,00
2R	snoRNA:Me18S-A1061	-	-	snoRNA:Me18S-A1061	snoRNA:Me18S-A1061	TSS17617	2R:10510546-10510622	-	-	18128,60	0,00	54385,80	OK	0,00	9064,30	13,15
3R	CG10407	-	-	CG10407	CG10407	TSS7073	3R:11870468-11871693	-	-	6100,02	5840,75	6359,28	OK	7256,63	6678,33	12,71
2R	Ef1alpha48D	-	-	Ef1alpha48D	Ef1alpha48D	TSS12705,TSS7308	2R:7779596-7783025	-	-	5987,15	5737,19	6237,12	OK	6526,17	6256,66	12,61
2L	snoRNA:U14:30Eb	-	-	snoRNA:U14:30Eb	snoRNA:U14:30Eb	TSS12962	2L:9893945-9894026	-	-	11870,10	0,00	35610,20	OK	0,00	5935,05	12,54
2R	snoRNA:Me28S-G2703c	-	-	snoRNA:Me28S-G2703c	snoRNA:Me28S-G2703c	TSS7516	2R:10511511-10511596	-	-	6843,14	0,00	20529,40	OK	4508,42	5675,78	12,47
2R	RpL38	-	-	RpL38	RpL38	TSS17722	2R:403501-403961	-	-	5128,82	5016,28	5241,35	OK	5017,16	5072,99	12,31
3R	RpS29	-	-	RpS29	RpS29	TSS10547	3R:5603766-5604800	-	-	4842,42	4751,94	4932,90	OK	5122,56	4982,49	12,28
